flight,date,time
JBU778,2020-02-15,02:50:36
N315VE,2020-02-15,10:37:16
UAL824,2020-02-15,10:37:16
SWA4316,2020-02-15,10:37:16
N696XX,2020-02-15,10:37:16
N299MP,2020-02-15,10:37:16
N864MB,2020-02-15,10:37:16
AAL1968,2020-02-15,10:37:16
SWA4635,2020-02-15,10:37:16
N951SC,2020-02-15,10:37:16
UAL1280,2020-02-15,10:37:16
SWA4351,2020-02-15,10:37:16
MSQT462,2020-02-15,10:37:16
N4286D,2020-02-15,10:37:16
N753SC,2020-02-15,10:37:16
AAL520,2020-02-15,10:37:16
N6108B,2020-02-15,10:37:16
UAL667,2020-02-15,10:37:16
UAL2305,2020-02-15,10:37:16
N465CE,2020-02-15,10:37:16
FFT2414,2020-02-15,10:45:16
DAL2928,2020-02-15,10:45:16
MSQT33,2020-02-15,10:45:16
SWA4980,2020-02-15,10:45:16
EJA787,2020-02-15,10:45:16
SWA5542,2020-02-15,10:45:16
SWA5110,2020-02-15,10:45:16
SWA4441,2020-02-15,10:45:16
N8172M,2020-02-15,10:45:16
N965M,2020-02-15,10:45:16
JSX421,2020-02-15,10:45:16
N900GK,2020-02-15,10:45:16
ASH5944,2020-02-15,10:45:16
SLH24,2020-02-15,10:45:16
SWA3058,2020-02-15,10:45:16
DAL1190,2020-02-15,10:45:16
ASA1046,2020-02-15,10:45:16
N12LA,2020-02-15,10:45:16
AAL2260,2020-02-15,10:45:16
N40AB,2020-02-15,11:01:46
SWA3097,2020-02-15,11:01:46
N837SC,2020-02-15,11:01:46
SWA5309,2020-02-15,11:01:46
N35325,2020-02-15,11:01:46
SWA3023,2020-02-15,11:01:46
N602LP,2020-02-15,11:01:46
VOI956,2020-02-15,11:01:46
SWA2994,2020-02-15,11:01:46
N57SC,2020-02-15,11:01:46
N427DW,2020-02-15,11:01:46
CPZ5726,2020-02-15,11:01:46
WJA2250,2020-02-15,11:01:46
N510SA,2020-02-15,11:01:46
AAL154,2020-02-15,11:01:46
N306BH,2020-02-15,11:01:46
SLI2718,2020-02-15,11:01:46
DAL1270,2020-02-15,11:01:46
N835SC,2020-02-15,11:01:46
UAL604,2020-02-15,11:04:02
N92228,2020-02-15,11:04:02
N6683W,2020-02-15,11:04:02
SWA4407,2020-02-15,11:04:02
N854SC,2020-02-15,11:04:02
N88MM,2020-02-15,11:04:02
ACA1057,2020-02-15,11:04:02
SWA3110,2020-02-15,11:04:02
WSN6,2020-02-15,11:05:02
MSQT77,2020-02-15,11:05:02
ASA332,2020-02-15,11:05:02
AAL695,2020-02-15,11:06:02
ASA680,2020-02-15,11:06:02
UAL2127,2020-02-15,11:07:03
AMX600,2020-02-15,11:07:03
AAL760,2020-02-15,11:07:03
AAL2613,2020-02-15,11:07:03
N292PA,2020-02-15,11:07:03
OXF371,2020-02-15,11:07:03
TMPST55,2020-02-15,11:07:03
UAL2261,2020-02-15,11:07:03
N2134M,2020-02-15,11:08:02
WJA2178,2020-02-15,11:09:03
SKW3158,2020-02-15,11:09:03
N253CX,2020-02-15,11:09:03
ULA345,2020-02-15,11:09:03
SKW3133,2020-02-15,11:09:03
MSQT548,2020-02-15,11:09:03
SWA3012,2020-02-15,11:10:02
N30608,2020-02-15,11:10:02
AAL330,2020-02-15,11:10:02
N21914,2020-02-15,11:10:02
N56HR,2020-02-15,11:11:02
AAL711,2020-02-15,11:11:02
N2436J,2020-02-15,11:11:02
AAL1473,2020-02-15,11:11:02
DAL2979,2020-02-15,11:11:02
EJA111,2020-02-15,11:11:02
AAL1499,2020-02-15,11:13:03
UAL258,2020-02-15,11:13:03
N4191M,2020-02-15,11:14:02
N34LA,2020-02-15,11:14:02
MSQT194,2020-02-15,11:14:02
AAL1892,2020-02-15,11:15:03
N703CD,2020-02-15,11:15:03
