flight,date,time
AAL177,2024-04-23,00:00:02
AMX026,2024-04-23,00:01:02
DLH433,2024-04-23,00:02:03
THY190,2024-04-23,00:03:02
UPS1075,2024-04-23,00:07:02
ACA742,2024-04-23,00:12:02
UPS1125,2024-04-23,00:12:02
AAL98,2024-04-23,00:15:02
EAU53B,2024-04-23,00:16:02
ACA122,2024-04-23,00:17:02
IBE6170,2024-04-23,00:21:02
EJA237,2024-04-23,00:36:02
AMX008,2024-04-23,00:44:02
AFR6733,2024-04-23,00:45:02
KFS87,2024-04-23,01:03:03
GEC8189,2024-04-23,01:10:02
AAL382,2024-04-23,01:46:02
THY10,2024-04-23,02:14:02
AMX071,2024-04-23,02:17:02
ICV38R,2024-04-23,02:24:03
EIN9MY,2024-04-23,02:48:03
IBE2624,2024-04-23,02:50:03
JBU334,2024-04-23,03:03:02
JBU648,2024-04-23,03:04:03
JBU98,2024-04-23,03:30:02
TSU215,2024-04-23,03:44:02
DAL824,2024-04-23,03:45:02
UAL1082,2024-04-23,03:46:02
UAL1965,2024-04-23,03:46:02
AAL2701,2024-04-23,03:53:02
UAL589,2024-04-23,03:56:02
JBU72,2024-04-23,03:58:02
ASA536,2024-04-23,03:59:02
DAL521,2024-04-23,04:05:02
DAL929,2024-04-23,04:05:02
ASA22,2024-04-23,04:10:02
ASA298,2024-04-23,04:10:02
DAL570,2024-04-23,04:12:03
HAL90,2024-04-23,04:13:02
DAL2019,2024-04-23,04:14:03
JBU604,2024-04-23,04:14:03
DAL349,2024-04-23,04:14:03
SIA22,2024-04-23,04:15:02
DAL764,2024-04-23,04:19:03
N604SB,2024-04-23,04:20:02
UPS1126,2024-04-23,04:20:02
CPA844,2024-04-23,04:20:02
DAL1553,2024-04-23,04:21:03
UPS1038,2024-04-23,04:22:02
UPS1476,2024-04-23,04:26:02
NKS726,2024-04-23,04:27:03
JBU498,2024-04-23,04:29:03
DAL1304,2024-04-23,04:30:02
UAL702,2024-04-23,04:32:02
DAL927,2024-04-23,04:33:02
UPS1076,2024-04-23,04:34:02
DAL831,2024-04-23,04:35:02
DAL719,2024-04-23,04:36:02
JBU458,2024-04-23,04:37:02
DAL569,2024-04-23,04:38:02
DAL419,2024-04-23,04:41:02
JBU1216,2024-04-23,04:43:03
JBU670,2024-04-23,04:43:03
AAL2453,2024-04-23,04:43:03
UPS1488,2024-04-23,04:44:02
JBU948,2024-04-23,04:44:02
DAL568,2024-04-23,04:45:03
ACA124,2024-04-23,04:46:03
UAL726,2024-04-23,04:46:03
UAL749,2024-04-23,04:47:02
UAL1359,2024-04-23,04:48:03
ASA371,2024-04-23,04:50:02
DAL2054,2024-04-23,04:52:02
ASA384,2024-04-23,04:55:02
ASA404,2024-04-23,04:59:02
AAL276,2024-04-23,05:02:02
FRG1690,2024-04-23,05:04:02
AAL2361,2024-04-23,05:05:03
DAL1184,2024-04-23,05:08:03
NKS439,2024-04-23,05:12:02
ASA36,2024-04-23,05:12:02
DAL449,2024-04-23,05:13:02
WJA724,2024-04-23,05:13:02
ACA186,2024-04-23,05:14:03
ACA746,2024-04-23,05:18:03
ASA38,2024-04-23,05:26:02
DAL509,2024-04-23,05:27:02
UAL2106,2024-04-23,05:30:02
DAL969,2024-04-23,05:32:02
DAL1180,2024-04-23,05:32:02
UAL649,2024-04-23,05:33:03
ROU1704,2024-04-23,05:33:03
DAL940,2024-04-23,05:34:02
UAL2096,2024-04-23,05:40:02
THY6551,2024-04-23,05:40:02
ACA1272,2024-04-23,05:41:02
UAL267,2024-04-23,05:42:02
DAL478,2024-04-23,05:49:02
UAL341,2024-04-23,05:50:03
ACA794,2024-04-23,05:51:02
DAL998,2024-04-23,05:56:02
JBU1354,2024-04-23,05:57:03
FLE600,2024-04-23,05:58:02
ASA26,2024-04-23,05:58:02
ROU1722,2024-04-23,05:59:03
DAL897,2024-04-23,06:04:03
FLE1676,2024-04-23,06:05:02
ACA126,2024-04-23,06:05:02
HAL50,2024-04-23,06:06:02
AAL28,2024-04-23,06:07:02
UPS9795,2024-04-23,06:08:02
JBU162,2024-04-23,06:11:02
DAL2453,2024-04-23,06:13:02
DAL524,2024-04-23,06:14:03
EDV5202,2024-04-23,06:15:02
UAL1665,2024-04-23,06:16:02
JIA5090,2024-04-23,06:17:02
SKW5593,2024-04-23,06:29:02
DAL990,2024-04-23,06:31:02
SNC1470,2024-04-23,06:36:02
JBU264,2024-04-23,06:39:03
NJM998,2024-04-23,06:45:02
N890D,2024-04-23,06:46:02
UAL1761,2024-04-23,06:47:02
NJM848,2024-04-23,06:51:02
DAL475,2024-04-23,06:54:03
EJA681,2024-04-23,06:55:02
SWA2821,2024-04-23,06:56:02
UAE9917,2024-04-23,06:56:02
AAL1561,2024-04-23,06:56:02
DAL1193,2024-04-23,06:57:02
N897D,2024-04-23,07:00:02
N928NG,2024-04-23,07:00:02
DAL2394,2024-04-23,07:02:02
N1219M,2024-04-23,07:03:03
AWI5982,2024-04-23,07:06:03
DAL2872,2024-04-23,07:07:02
UAL549,2024-04-23,07:08:03
UAL3931,2024-04-23,07:10:02
JBU1006,2024-04-23,07:15:02
DAL1530,2024-04-23,07:15:02
N272BC,2024-04-23,07:16:02
MRA605,2024-04-23,07:18:02
DAL2913,2024-04-23,07:19:02
RPA3613,2024-04-23,07:20:03
ENY3341,2024-04-23,07:20:03
UAL1658,2024-04-23,07:22:02
RPA4387,2024-04-23,07:24:02
SKW4051,2024-04-23,07:25:02
UAL2673,2024-04-23,07:25:02
N8126L,2024-04-23,07:25:02
DAL1316,2024-04-23,07:25:02
AWI6150,2024-04-23,07:25:02
DAL1645,2024-04-23,07:26:02
ASA332,2024-04-23,07:27:02
AWI6158,2024-04-23,07:28:02
NSH51,2024-04-23,07:28:02
UAL1958,2024-04-23,07:30:02
CTL10,2024-04-23,07:30:02
N86VP,2024-04-23,07:32:02
UAL2225,2024-04-23,07:33:02
SKW3898,2024-04-23,07:33:02
RPA5636,2024-04-23,07:36:02
JRE943,2024-04-23,07:37:02
UAL2483,2024-04-23,07:37:02
DAL1520,2024-04-23,07:38:02
RPA4409,2024-04-23,07:39:03
DAL1746,2024-04-23,07:40:02
IRO8393,2024-04-23,07:40:02
UAL236,2024-04-23,07:41:02
UAL2153,2024-04-23,07:41:02
DAL792,2024-04-23,07:42:03
N352W,2024-04-23,07:43:02
DAL2383,2024-04-23,07:43:02
UAL1010,2024-04-23,07:43:02
JIA5116,2024-04-23,07:44:03
N425EV,2024-04-23,07:44:03
CGKTO,2024-04-23,07:44:03
GJS4422,2024-04-23,07:45:02
DAL1534,2024-04-23,07:48:02
UAL567,2024-04-23,07:50:02
N505RP,2024-04-23,07:50:02
SKW6218,2024-04-23,07:50:02
RPA3597,2024-04-23,07:53:02
UAL2218,2024-04-23,07:53:02
SKW3648,2024-04-23,07:53:02
DAL1641,2024-04-23,07:53:02
SKW3835,2024-04-23,07:54:02
UAL265,2024-04-23,07:54:02
UAL1584,2024-04-23,07:54:02
DAL190,2024-04-23,07:54:02
SKW5278,2024-04-23,07:56:03
UAL1851,2024-04-23,07:58:03
N279SW,2024-04-23,07:58:03
DAL1330,2024-04-23,07:59:02
SKW3928,2024-04-23,08:00:03
DAL1431,2024-04-23,08:01:02
UAL301,2024-04-23,08:01:02
UAL2389,2024-04-23,08:03:02
UAL423,2024-04-23,08:03:02
DAL1210,2024-04-23,08:04:03
N441WM,2024-04-23,08:05:02
SKW4714,2024-04-23,08:05:02
FRG9121,2024-04-23,08:05:02
RPA3529,2024-04-23,08:07:02
ETH574,2024-04-23,08:07:02
VJA351,2024-04-23,08:08:02
EJM688,2024-04-23,08:09:02
SKW5353,2024-04-23,08:10:02
DAL1417,2024-04-23,08:10:02
FDX651,2024-04-23,08:10:02
N1CH,2024-04-23,08:10:02
AAL462,2024-04-23,08:11:02
N488GB,2024-04-23,08:11:02
SKW3984,2024-04-23,08:11:02
N316KG,2024-04-23,08:13:02
N40D,2024-04-23,08:13:02
DAL735,2024-04-23,08:14:02
DAL1176,2024-04-23,08:14:02
N4272C,2024-04-23,08:15:02
KAP610,2024-04-23,08:15:02
ENY3354,2024-04-23,08:15:02
N8426G,2024-04-23,08:16:02
N66PF,2024-04-23,08:17:02
SKW4110,2024-04-23,08:17:02
N777QL,2024-04-23,08:17:02
DCM2497,2024-04-23,08:18:02
DAL551,2024-04-23,08:19:03
CFCDE,2024-04-23,08:21:02
NKS2100,2024-04-23,08:22:02
UAL2360,2024-04-23,08:22:02
JZA716,2024-04-23,08:22:02
SWA3288,2024-04-23,08:22:02
N18GU,2024-04-23,08:23:03
N53ST,2024-04-23,08:24:02
SWA5670,2024-04-23,08:26:02
DAL769,2024-04-23,08:26:02
UAL1044,2024-04-23,08:28:02
EDV5414,2024-04-23,08:29:03
N67PC,2024-04-23,08:29:03
RPA4353,2024-04-23,08:29:03
UAL2700,2024-04-23,08:30:02
ASA349,2024-04-23,08:30:02
SCX251,2024-04-23,08:31:02
UAL1803,2024-04-23,08:32:03
SWA205,2024-04-23,08:33:02
EJA908,2024-04-23,08:33:02
N501KT,2024-04-23,08:33:02
SCX567,2024-04-23,08:33:02
SKW4021,2024-04-23,08:34:03
ENY3496,2024-04-23,08:37:02
N5910T,2024-04-23,08:37:02
DAL748,2024-04-23,08:39:02
ENY3538,2024-04-23,08:41:02
SKW5351,2024-04-23,08:42:03
SKW3918,2024-04-23,08:42:03
DAL1567,2024-04-23,08:43:02
EJM161,2024-04-23,08:43:02
N37DS,2024-04-23,08:44:03
JBU605,2024-04-23,08:44:03
LXJ356,2024-04-23,08:45:02
RPA5645,2024-04-23,08:46:02
DAL1064,2024-04-23,08:46:02
