flight,date,time
THY6697,2020-12-08,00:27:02
WIS300,2020-12-08,00:35:02
UPS1026,2020-12-08,01:36:02
JUS831,2020-12-08,01:47:03
FRG1410,2020-12-08,02:05:03
CLX46C,2020-12-08,02:07:02
UPS558,2020-12-08,02:32:02
AAL276,2020-12-08,02:33:03
UPS1476,2020-12-08,02:53:03
UPS1126,2020-12-08,02:55:03
WSW118,2020-12-08,02:56:02
UPS1038,2020-12-08,02:56:02
UPS1216,2020-12-08,02:56:02
UPS1076,2020-12-08,02:58:02
JBU888,2020-12-08,02:59:02
UPS1028,2020-12-08,03:02:03
UPS3488,2020-12-08,03:05:02
DAL812,2020-12-08,03:12:03
DAL950,2020-12-08,03:14:03
DAL300,2020-12-08,03:18:02
UPS9892,2020-12-08,03:25:02
DAL550,2020-12-08,03:30:02
FRG1050,2020-12-08,03:30:02
UPS9749,2020-12-08,03:30:02
WIS355,2020-12-08,03:31:02
PAC213,2020-12-08,03:34:02
FDX1950,2020-12-08,03:36:02
RAX220,2020-12-08,03:36:02
PDT6103,2020-12-08,03:45:02
UAL1165,2020-12-08,03:45:02
MPH6516,2020-12-08,03:46:03
ATN8702,2020-12-08,03:48:03
FFT2016,2020-12-08,04:00:02
DAL1784,2020-12-08,04:05:02
AAL1310,2020-12-08,04:08:03
UAL2388,2020-12-08,04:13:02
FDX1743,2020-12-08,04:14:03
FDX1536,2020-12-08,04:14:03
AIC127,2020-12-08,04:15:02
UAL1796,2020-12-08,04:15:02
AAL2693,2020-12-08,04:18:02
LXJ368,2020-12-08,04:19:02
RPA4992,2020-12-08,04:19:02
N414MA,2020-12-08,04:24:02
DAL1212,2020-12-08,04:31:02
JIA5092,2020-12-08,04:33:02
JBU1424,2020-12-08,04:37:02
DAL1791,2020-12-08,04:39:02
SOO237,2020-12-08,04:39:02
MMD6186,2020-12-08,04:45:02
JBU74,2020-12-08,04:46:03
DAL807,2020-12-08,04:49:02
KAL9035,2020-12-08,04:57:02
JBU1616,2020-12-08,05:02:02
SNC1470,2020-12-08,05:03:02
N257DV,2020-12-08,05:05:03
AWI3732,2020-12-08,05:07:03
DAL1604,2020-12-08,05:07:03
N527EE,2020-12-08,05:10:02
N222JY,2020-12-08,05:12:02
N8126L,2020-12-08,05:12:02
SKW4330,2020-12-08,05:13:03
SWA3317,2020-12-08,05:14:02
DAL158,2020-12-08,05:14:02
N843JS,2020-12-08,05:15:03
N459M,2020-12-08,05:15:03
EJA341,2020-12-08,05:21:02
ANA102,2020-12-08,05:30:03
N906AG,2020-12-08,05:32:02
UAL580,2020-12-08,05:33:02
RPA3575,2020-12-08,05:33:02
KAP26,2020-12-08,05:36:02
CLX72W,2020-12-08,05:39:02
AAL2267,2020-12-08,05:40:03
SWA2810,2020-12-08,05:42:03
N422AJ,2020-12-08,05:43:02
RPA3642,2020-12-08,05:44:03
UAL761,2020-12-08,05:44:03
SWA4690,2020-12-08,05:46:02
RPA3430,2020-12-08,05:46:02
N3999S,2020-12-08,05:47:03
RPA3667,2020-12-08,05:50:02
FRG1570,2020-12-08,05:50:02
GJS4382,2020-12-08,05:53:02
AWI3768,2020-12-08,05:53:02
EDV5176,2020-12-08,05:58:03
N131EP,2020-12-08,05:59:02
CNS737,2020-12-08,06:00:03
SKW5958,2020-12-08,06:01:02
N751EC,2020-12-08,06:02:02
AAL168,2020-12-08,06:03:02
GJS4474,2020-12-08,06:05:02
SKW3805,2020-12-08,06:05:02
AZG783,2020-12-08,06:08:03
N149KW,2020-12-08,06:08:03
RPA3511,2020-12-08,06:10:03
N285GA,2020-12-08,06:10:03
UPS9304,2020-12-08,06:13:02
SWA3465,2020-12-08,06:15:02
SKW3688,2020-12-08,06:19:02
AMF1088,2020-12-08,06:19:02
N441MK,2020-12-08,06:21:02
SKW3740,2020-12-08,06:22:02
LXJ548,2020-12-08,06:22:02
EJM901,2020-12-08,06:22:02
N222NE,2020-12-08,06:23:02
DAL691,2020-12-08,06:24:02
N70NJ,2020-12-08,06:25:03
EDV4980,2020-12-08,06:26:03
EDV4889,2020-12-08,06:26:03
RPA5669,2020-12-08,06:26:03
N350A,2020-12-08,06:27:02
IRO8569,2020-12-08,06:27:02
N23TC,2020-12-08,06:28:03
EDV5068,2020-12-08,06:28:03
N350ES,2020-12-08,06:30:03
N460PB,2020-12-08,06:30:03
SWA3331,2020-12-08,06:32:02
N108KC,2020-12-08,06:32:02
N66TN,2020-12-08,06:34:02
SKW3934,2020-12-08,06:37:02
EJA549,2020-12-08,06:37:02
SKW3950,2020-12-08,06:39:02
IRO8393,2020-12-08,06:40:03
N1RJ,2020-12-08,06:41:02
SKW3837,2020-12-08,06:42:03
IRO8604,2020-12-08,06:45:02
AMF1090,2020-12-08,06:46:03
SKW3610,2020-12-08,06:46:03
IRO8444,2020-12-08,06:47:02
IRO784,2020-12-08,06:47:02
N168GG,2020-12-08,06:47:02
DAL985,2020-12-08,06:48:03
N7915M,2020-12-08,06:48:03
EDV4696,2020-12-08,06:49:02
QFA7589,2020-12-08,06:50:02
AAL1265,2020-12-08,06:50:02
EDV5033,2020-12-08,06:53:02
JAL8006,2020-12-08,06:54:02
EDV5036,2020-12-08,06:54:02
DAL1183,2020-12-08,06:55:02
N525KH,2020-12-08,06:56:02
N317LL,2020-12-08,06:57:02
EDV4915,2020-12-08,06:57:02
N630AB,2020-12-08,06:58:02
N208MF,2020-12-08,06:59:02
DAL742,2020-12-08,06:59:02
N312SJ,2020-12-08,07:00:02
SKW5317,2020-12-08,07:02:03
UAL647,2020-12-08,07:02:03
N100BE,2020-12-08,07:02:03
DAL1051,2020-12-08,07:05:02
DAL1158,2020-12-08,07:06:03
XOJ757,2020-12-08,07:07:02
EJA649,2020-12-08,07:08:03
DAL2021,2020-12-08,07:08:03
N626CV,2020-12-08,07:08:03
DAL862,2020-12-08,07:08:03
ICV72W,2020-12-08,07:09:02
DAL305,2020-12-08,07:13:02
SKW4675,2020-12-08,07:14:03
FDX651,2020-12-08,07:14:03
N921PK,2020-12-08,07:14:03
DAL961,2020-12-08,07:15:02
UAL396,2020-12-08,07:15:02
SWA4022,2020-12-08,07:18:02
UPS2051,2020-12-08,07:18:02
EDV4916,2020-12-08,07:19:02
UAL364,2020-12-08,07:22:02
N80,2020-12-08,07:23:02
AWI3157,2020-12-08,07:23:02
DAL875,2020-12-08,07:25:03
N818LX,2020-12-08,07:26:02
UAL2089,2020-12-08,07:26:02
N601MA,2020-12-08,07:28:02
DAL726,2020-12-08,07:29:02
SKV7701,2020-12-08,07:30:02
RPA5813,2020-12-08,07:30:02
EDV4811,2020-12-08,07:32:02
DAL712,2020-12-08,07:34:02
DAL743,2020-12-08,07:37:02
N318JF,2020-12-08,07:39:02
EDV4914,2020-12-08,07:40:03
WGN8783,2020-12-08,07:41:03
GTI3730,2020-12-08,07:42:02
N67FT,2020-12-08,07:47:02
FDX3806,2020-12-08,07:47:02
DAL729,2020-12-08,07:48:02
EDV4705,2020-12-08,07:49:02
SKV7591,2020-12-08,07:49:02
DAL755,2020-12-08,07:50:02
AAL493,2020-12-08,07:51:02
N78PE,2020-12-08,07:51:02
EJM604,2020-12-08,07:51:02
EDV4858,2020-12-08,07:54:03
EDV4831,2020-12-08,07:54:03
DAL804,2020-12-08,07:55:02
N375KS,2020-12-08,07:56:03
EDV4735,2020-12-08,07:57:02
JBU1833,2020-12-08,07:57:02
EDV4992,2020-12-08,07:59:02
N894EA,2020-12-08,08:00:03
SKW4291,2020-12-08,08:00:03
EDV4986,2020-12-08,08:00:03
SVL53,2020-12-08,08:01:02
DAL1023,2020-12-08,08:01:02
00000000,2020-12-08,08:04:02
EDV4900,2020-12-08,08:08:02
GJS4427,2020-12-08,08:09:03
FDX0691,2020-12-08,08:10:02
AAL1099,2020-12-08,08:11:03
DAL1025,2020-12-08,08:12:02
SWA2633,2020-12-08,08:14:02
UAL2116,2020-12-08,08:14:02
GJS4416,2020-12-08,08:15:03
DAL1092,2020-12-08,08:16:02
DAL312,2020-12-08,08:18:02
UAL1204,2020-12-08,08:21:02
EDV4637,2020-12-08,08:21:02
RPA3572,2020-12-08,08:23:02
DAL1792,2020-12-08,08:26:02
ECJ21,2020-12-08,08:28:02
ACA2327,2020-12-08,08:29:02
SKW5244,2020-12-08,08:30:02
SKW3725,2020-12-08,08:34:02
UPS2982,2020-12-08,08:35:02
UAL1857,2020-12-08,08:36:02
UPS2071,2020-12-08,08:38:02
EDV4718,2020-12-08,08:39:03
SKW5037,2020-12-08,08:39:03
DAL521,2020-12-08,08:42:02
EJM56,2020-12-08,08:46:02
GJS4394,2020-12-08,08:46:02
N1SV,2020-12-08,08:46:02
UPS2453,2020-12-08,08:48:02
CNS117,2020-12-08,08:49:02
GJS4512,2020-12-08,08:49:02
DAL330,2020-12-08,08:54:03
AAL96,2020-12-08,08:55:02
N560MC,2020-12-08,08:55:02
GJS4618,2020-12-08,08:56:02
SKW3700,2020-12-08,08:57:03
BOX482,2020-12-08,08:58:02
N998NJ,2020-12-08,08:58:02
DAL552,2020-12-08,08:58:02
N600TD,2020-12-08,08:59:03
RPA5634,2020-12-08,09:00:02
N9WW,2020-12-08,09:00:02
RPA3513,2020-12-08,09:01:02
SWA2702,2020-12-08,09:03:02
N50GJ,2020-12-08,09:03:02
N348MW,2020-12-08,09:07:03
N265CM,2020-12-08,09:08:02
AWI3807,2020-12-08,09:08:02
KAL9036,2020-12-08,09:09:03
SWA2558,2020-12-08,09:10:02
JBU619,2020-12-08,09:11:03
UAL660,2020-12-08,09:11:03
RAX716,2020-12-08,09:12:02
N88MY,2020-12-08,09:15:03
FFT623,2020-12-08,09:18:03
NKS3005,2020-12-08,09:19:02
SWA5029,2020-12-08,09:27:02
SKV7610,2020-12-08,09:27:02
AMF1098,2020-12-08,09:30:02
ADSBFHNS,2020-12-08,09:32:02
N650DR,2020-12-08,09:34:02
SKW5108,2020-12-08,09:36:02
N50LD,2020-12-08,09:41:02
N443BB,2020-12-08,09:42:03
DCM4240,2020-12-08,09:42:03
N667PC,2020-12-08,09:43:02
FDX3026,2020-12-08,09:43:02
N774GW,2020-12-08,09:45:02
DAL1172,2020-12-08,09:51:02
DAL1115,2020-12-08,09:59:02
N6870L,2020-12-08,10:03:02
N408PC,2020-12-08,10:03:02
RPA3698,2020-12-08,10:04:02
DZR342,2020-12-08,10:05:02
SWA4720,2020-12-08,10:06:02
EDV4704,2020-12-08,10:08:03
NKS2932,2020-12-08,10:10:03
SKW3670,2020-12-08,10:15:02
EDV4866,2020-12-08,10:19:02
N351HC,2020-12-08,10:19:02
EDV4893,2020-12-08,10:22:02
DAL876,2020-12-08,10:23:03
DAL824,2020-12-08,10:23:03
LXJ520,2020-12-08,10:25:03
UAL1697,2020-12-08,10:25:03
EDV4777,2020-12-08,10:27:03
RPA3402,2020-12-08,10:27:03
N807JS,2020-12-08,10:28:02
SKW3816,2020-12-08,10:28:02
DAL882,2020-12-08,10:34:02
ASA160,2020-12-08,10:35:02
AWI3878,2020-12-08,10:37:02
RPA5683,2020-12-08,10:40:03
DECEE90,2020-12-08,10:42:02
AWI3851,2020-12-08,10:43:02
RPA3686,2020-12-08,10:43:02
SKW3665,2020-12-08,10:43:02
UAL1251,2020-12-08,10:45:02
N613HA,2020-12-08,10:45:02
GJS4419,2020-12-08,10:46:02
DAL741,2020-12-08,10:46:02
DAL437,2020-12-08,10:47:03
RPA3463,2020-12-08,10:48:02
N64MJ,2020-12-08,10:49:03
ATN3523,2020-12-08,10:50:02
AJI9317,2020-12-08,10:51:03
AAL71,2020-12-08,10:53:03
NKS9023,2020-12-08,10:56:02
DAL567,2020-12-08,10:59:02
AWI3727,2020-12-08,11:00:02
N784CC,2020-12-08,11:02:02
DAL809,2020-12-08,11:05:02
UAL1649,2020-12-08,11:07:02
NAC5710,2020-12-08,11:07:02
AWI3899,2020-12-08,11:10:03
DAL991,2020-12-08,11:12:03
EJA501,2020-12-08,11:12:03
LXJ524,2020-12-08,11:14:03
KAL036,2020-12-08,11:15:02
UAL2821,2020-12-08,11:20:03
WGN2046,2020-12-08,11:21:02
AAL2059,2020-12-08,11:23:02
AAL2564,2020-12-08,11:24:02
DLH430,2020-12-08,11:26:02
EJA383,2020-12-08,11:29:03
NKS760,2020-12-08,11:30:02
SCX3054,2020-12-08,11:30:02
EDV5065,2020-12-08,11:34:02
QTR713,2020-12-08,11:36:02
SKW3989,2020-12-08,11:36:02
AWI3814,2020-12-08,11:36:02
DAL3341,2020-12-08,11:37:02
AZG784,2020-12-08,11:37:02
QTR725,2020-12-08,11:40:02
DPJ81,2020-12-08,11:42:02
ASA32,2020-12-08,11:45:02
DAL929,2020-12-08,11:54:02
BAW3594,2020-12-08,11:55:03
SKW4702,2020-12-08,11:56:02
ASA8,2020-12-08,11:57:03
