flight,date,time
FDX1,2024-02-11,00:19:02
UAE9394,2024-02-11,00:56:02
QTR8102,2024-02-11,01:02:02
BAW4Q,2024-02-11,01:23:02
AFR6737,2024-02-11,01:32:02
JBU358,2024-02-11,01:35:02
DAL8839,2024-02-11,01:37:02
AAL136,2024-02-11,01:38:02
JBU648,2024-02-11,01:41:02
DAL484,2024-02-11,01:56:02
CPA844,2024-02-11,02:20:03
JBU72,2024-02-11,02:29:02
DAL541,2024-02-11,02:43:02
UAL549,2024-02-11,02:44:03
JBU136,2024-02-11,03:03:02
DAL475,2024-02-11,03:04:02
DAL867,2024-02-11,03:21:02
AAL1719,2024-02-11,03:22:02
AAL276,2024-02-11,03:27:02
UAL2106,2024-02-11,03:28:02
DAL437,2024-02-11,03:28:02
AAL2001,2024-02-11,03:33:03
UAL1165,2024-02-11,03:36:02
UAL477,2024-02-11,03:36:02
HAL50,2024-02-11,03:54:02
N527AC,2024-02-11,03:56:02
ACA746,2024-02-11,03:58:02
JBU264,2024-02-11,04:17:03
SKW5214,2024-02-11,04:23:02
RPA3613,2024-02-11,04:23:02
JBU162,2024-02-11,04:24:02
UAL1950,2024-02-11,04:53:02
ENY4072,2024-02-11,05:00:03
NKS1855,2024-02-11,05:15:03
DAL1536,2024-02-11,05:18:03
UAL1796,2024-02-11,05:20:03
SWA581,2024-02-11,05:25:02
NJM300,2024-02-11,05:25:02
DAL1193,2024-02-11,05:26:03
UAL1414,2024-02-11,05:32:02
SKW3898,2024-02-11,05:32:02
UAL2099,2024-02-11,05:32:02
DAL2872,2024-02-11,05:32:02
AAL1561,2024-02-11,05:32:02
DAL2103,2024-02-11,05:32:02
WJA9231,2024-02-11,05:40:02
JBU1373,2024-02-11,05:41:02
UAL2218,2024-02-11,05:43:02
SKW4714,2024-02-11,05:45:02
DAL1633,2024-02-11,05:45:02
LXJ580,2024-02-11,05:46:03
SKW3629,2024-02-11,05:46:03
DAL721,2024-02-11,05:47:02
UAL2225,2024-02-11,05:47:02
AAL33,2024-02-11,05:48:02
AAL1282,2024-02-11,05:48:02
AAL1362,2024-02-11,05:49:02
AAL2768,2024-02-11,05:51:03
SWA1085,2024-02-11,05:51:03
DAL1357,2024-02-11,05:51:03
UAL320,2024-02-11,05:54:02
UAL2684,2024-02-11,05:59:02
SKW5630,2024-02-11,06:00:03
WGN8404,2024-02-11,06:01:03
ANA102,2024-02-11,06:01:03
RPA3615,2024-02-11,06:03:03
RPA3663,2024-02-11,06:06:02
SWA1473,2024-02-11,06:07:02
AAL76,2024-02-11,06:07:02
UAL2429,2024-02-11,06:07:02
UAL373,2024-02-11,06:09:02
AWI6020,2024-02-11,06:11:02
EDV5414,2024-02-11,06:12:02
SKW3928,2024-02-11,06:12:02
UAL2318,2024-02-11,06:15:02
SWA3091,2024-02-11,06:15:02
UAL567,2024-02-11,06:15:02
DAL158,2024-02-11,06:16:03
DAL2177,2024-02-11,06:17:02
UAL301,2024-02-11,06:18:02
DAL1046,2024-02-11,06:18:02
RPA3640,2024-02-11,06:20:02
ETD93C,2024-02-11,06:20:02
AAL2315,2024-02-11,06:21:02
UAL1236,2024-02-11,06:22:02
SKW5473,2024-02-11,06:23:02
LKF53,2024-02-11,06:26:03
UAL746,2024-02-11,06:29:02
NKS947,2024-02-11,06:29:02
KAL093,2024-02-11,06:30:02
