flight,date,time
DAL1033,2024-01-13,00:00:02
AMX071,2024-01-13,00:07:02
DAL2672,2024-01-13,00:15:02
AFR6735,2024-01-13,00:40:02
JBU648,2024-01-13,01:18:03
GTI9973,2024-01-13,01:54:03
QTR8142,2024-01-13,01:56:02
SIA22,2024-01-13,01:59:02
WJA512,2024-01-13,02:03:03
CPA844,2024-01-13,02:04:02
HAL90,2024-01-13,02:05:03
DAL970,2024-01-13,02:05:03
ABD4197,2024-01-13,02:21:03
JBU98,2024-01-13,02:43:02
DAL407,2024-01-13,02:51:02
DAL2733,2024-01-13,02:57:02
AAL276,2024-01-13,02:59:02
ATN3362,2024-01-13,03:13:02
DAL437,2024-01-13,03:17:02
BOX445,2024-01-13,03:19:02
JBU72,2024-01-13,03:22:03
HAL50,2024-01-13,03:23:02
ROU1706,2024-01-13,03:41:03
FDX1536,2024-01-13,03:47:02
ACA1280,2024-01-13,03:48:02
DAL302,2024-01-13,03:52:02
UAL1165,2024-01-13,03:56:02
JBU354,2024-01-13,04:01:03
JBU34,2024-01-13,04:10:03
N121PZ,2024-01-13,04:11:02
JBU162,2024-01-13,04:18:02
KAL249,2024-01-13,04:22:02
AAL2001,2024-01-13,04:22:02
UAL477,2024-01-13,04:29:03
UAL1665,2024-01-13,04:34:03
DAT557,2024-01-13,04:48:03
ENY4135,2024-01-13,04:50:03
UPS9825,2024-01-13,05:01:02
ETH574,2024-01-13,05:04:03
DAL1238,2024-01-13,05:06:03
UAL277,2024-01-13,05:07:02
N724GP,2024-01-13,05:21:03
OAE1619,2024-01-13,05:28:02
COL689,2024-01-13,05:29:03
UAL320,2024-01-13,05:29:03
DAL969,2024-01-13,05:30:02
DAL707,2024-01-13,05:31:02
AAL1362,2024-01-13,05:31:02
UAL1414,2024-01-13,05:36:02
UAL2483,2024-01-13,05:39:02
SWA3091,2024-01-13,05:40:02
DAL721,2024-01-13,05:42:02
UAL342,2024-01-13,05:43:03
DAL2403,2024-01-13,05:47:02
AAL1282,2024-01-13,05:48:02
DAL2070,2024-01-13,05:48:02
UAL1833,2024-01-13,05:48:02
AAL2315,2024-01-13,05:49:02
UAL2684,2024-01-13,05:50:03
DAL158,2024-01-13,05:50:03
DAL1633,2024-01-13,05:51:03
DAL1641,2024-01-13,05:52:02
UAL2318,2024-01-13,05:54:02
UAL2429,2024-01-13,05:57:02
RPA3640,2024-01-13,05:59:02
DAL2872,2024-01-13,06:00:03
RPA3663,2024-01-13,06:02:02
ANA102,2024-01-13,06:02:02
SWA2972,2024-01-13,06:02:02
DAL892,2024-01-13,06:03:02
UAL1236,2024-01-13,06:06:02
UPS9795,2024-01-13,06:08:02
AAL2301,2024-01-13,06:08:02
SWA3367,2024-01-13,06:08:02
EDV4846,2024-01-13,06:09:03
UAL373,2024-01-13,06:11:02
SWA2853,2024-01-13,06:11:02
DAL876,2024-01-13,06:12:02
AAL2369,2024-01-13,06:15:02
RPA5595,2024-01-13,06:16:02
AAL2434,2024-01-13,06:16:02
EJA522,2024-01-13,06:18:02
AAL33,2024-01-13,06:20:02
JAL6,2024-01-13,06:22:03
KAL073,2024-01-13,06:25:02
SWA2650,2024-01-13,06:28:03
JBU15,2024-01-13,06:29:02
UAL301,2024-01-13,06:29:02
SKW5353,2024-01-13,06:31:02
EJA671,2024-01-13,06:33:02
DAL869,2024-01-13,06:35:02
UAL2355,2024-01-13,06:37:03
AAL2018,2024-01-13,06:38:02
ENY3496,2024-01-13,06:42:02
AAL1509,2024-01-13,06:44:02
FLE1676,2024-01-13,06:44:02
ENY4134,2024-01-13,06:46:02
ANA110,2024-01-13,06:49:02
DAL1493,2024-01-13,06:50:02
WJA724,2024-01-13,06:51:02
UAL563,2024-01-13,06:52:02
UAL704,2024-01-13,06:53:02
N52SM,2024-01-13,06:56:02
PDT5698,2024-01-13,06:57:02
KAL081,2024-01-13,06:58:03
UAL2467,2024-01-13,07:00:03
UAL1328,2024-01-13,07:01:03
ENY3392,2024-01-13,07:02:02
SWA1473,2024-01-13,07:04:02
UAL2063,2024-01-13,07:06:02
JZA716,2024-01-13,07:08:02
RPA3448,2024-01-13,07:09:02
DAL1046,2024-01-13,07:10:02
RPA4408,2024-01-13,07:15:02
UAL2383,2024-01-13,07:15:02
UAL1690,2024-01-13,07:16:02
ASA1,2024-01-13,07:18:02
AAY1527,2024-01-13,07:18:02
NKS395,2024-01-13,07:18:02
SKW4109,2024-01-13,07:19:02
DAL1207,2024-01-13,07:24:02
SKW3629,2024-01-13,07:24:02
UAL1633,2024-01-13,07:24:02
UAL2292,2024-01-13,07:26:02
DAL1645,2024-01-13,07:26:02
DAL795,2024-01-13,07:26:02
UAL700,2024-01-13,07:33:03
AAL447,2024-01-13,07:33:03
DAL497,2024-01-13,07:33:03
ENY3490,2024-01-13,07:34:02
UAL1793,2024-01-13,07:35:03
ACA501,2024-01-13,07:36:02
DAL669,2024-01-13,07:36:02
N117SF,2024-01-13,07:36:02
FDX3806,2024-01-13,07:37:03
DAL442,2024-01-13,07:42:02
ACA746,2024-01-13,07:43:02
UAL1803,2024-01-13,07:45:02
UAL735,2024-01-13,07:47:03
DAL2103,2024-01-13,07:48:02
UAL1930,2024-01-13,07:49:03
UAL2372,2024-01-13,07:50:02
00000000,2024-01-13,07:50:02
EDV4946,2024-01-13,07:51:03
UAL1366,2024-01-13,07:52:02
UAL647,2024-01-13,07:52:02
DAL1384,2024-01-13,07:52:02
UAL345,2024-01-13,07:52:02
JBU945,2024-01-13,07:52:02
UAL1464,2024-01-13,07:55:03
DAL533,2024-01-13,08:00:03
DAL2826,2024-01-13,08:01:02
ENY3314,2024-01-13,08:01:02
DAL361,2024-01-13,08:02:03
EDV5414,2024-01-13,08:02:03
MXY236,2024-01-13,08:02:03
N443PW,2024-01-13,08:04:03
N58CG,2024-01-13,08:05:02
AAL1621,2024-01-13,08:05:02
PDT5973,2024-01-13,08:06:02
SKW3063,2024-01-13,08:06:02
DAL499,2024-01-13,08:06:02
SWA2498,2024-01-13,08:08:02
AAL2019,2024-01-13,08:09:02
N604GB,2024-01-13,08:12:03
AWI9693,2024-01-13,08:14:03
AAL2661,2024-01-13,08:14:03
CPA830,2024-01-13,08:15:02
UAL608,2024-01-13,08:15:02
SKW3789,2024-01-13,08:16:02
DAL383,2024-01-13,08:19:03
SKW3899,2024-01-13,08:20:02
DAL675,2024-01-13,08:25:03
FFT2203,2024-01-13,08:28:03
SKW5473,2024-01-13,08:31:02
SKW3650,2024-01-13,08:32:03
COL762,2024-01-13,08:32:03
FDX651,2024-01-13,08:33:02
ASH6067,2024-01-13,08:35:02
ENY3493,2024-01-13,08:37:02
ASA5,2024-01-13,08:38:03
AWI6050,2024-01-13,08:39:02
N555TF,2024-01-13,08:39:02
EJA916,2024-01-13,08:40:03
DAL1363,2024-01-13,08:44:02
AAY566,2024-01-13,08:44:02
DAL483,2024-01-13,08:45:02
JBU311,2024-01-13,08:46:02
CGSJV,2024-01-13,08:48:02
THY67C,2024-01-13,08:48:02
N771BK,2024-01-13,08:53:02
SWA999,2024-01-13,08:55:02
DAL1541,2024-01-13,08:56:02
EVA626,2024-01-13,08:57:02
FLE600,2024-01-13,09:03:02
AAL2819,2024-01-13,09:04:02
RPA5604,2024-01-13,09:05:02
AAL1239,2024-01-13,09:06:02
RPA5677,2024-01-13,09:08:02
UAL2225,2024-01-13,09:08:02
SKW3971,2024-01-13,09:09:02
UAL1511,2024-01-13,09:09:02
SKW4110,2024-01-13,09:12:02
AAL2407,2024-01-13,09:12:02
DAL938,2024-01-13,09:12:02
AAL1487,2024-01-13,09:12:02
UAL945,2024-01-13,09:12:02
FLE660,2024-01-13,09:13:02
RPA5618,2024-01-13,09:16:03
N654GA,2024-01-13,09:17:02
AAL2229,2024-01-13,09:20:02
AAL90,2024-01-13,09:24:02
SWA658,2024-01-13,09:24:02
SKW4079,2024-01-13,09:26:02
SKW5450,2024-01-13,09:27:03
UAL408,2024-01-13,09:32:02
AAY537,2024-01-13,09:34:02
UAL426,2024-01-13,09:38:02
AAL111R,2024-01-13,09:40:02
JIA5221,2024-01-13,09:40:02
ASL506,2024-01-13,09:41:02
PDT5805,2024-01-13,09:43:02
SKW5611,2024-01-13,09:45:02
UAL1310,2024-01-13,09:46:02
ENY3812,2024-01-13,09:48:02
NKS3740,2024-01-13,09:53:03
RPA4801,2024-01-13,09:53:03
DAL359,2024-01-13,09:56:02
UAL1675,2024-01-13,09:57:02
UAL973,2024-01-13,10:00:02
