flight,date,time
AZG789,2021-07-03,00:12:02
QTR7CB,2021-07-03,00:13:02
SWA402,2021-07-03,00:31:02
JBU994,2021-07-03,00:36:03
NKS709,2021-07-03,00:41:02
BOX413,2021-07-03,00:45:02
UAL1178,2021-07-03,00:51:03
UAL2487,2021-07-03,00:53:03
NKS760,2021-07-03,00:59:03
JBU2742,2021-07-03,01:04:02
UAL1580,2021-07-03,01:08:03
DAL906,2021-07-03,01:10:03
JBU98,2021-07-03,01:11:02
DAL2379,2021-07-03,01:12:03
JBU834,2021-07-03,01:18:02
JBU20,2021-07-03,01:20:02
JBU778,2021-07-03,01:21:02
AAL976,2021-07-03,01:23:02
DAL2322,2021-07-03,01:27:02
DAL1605,2021-07-03,01:30:02
DAL1148,2021-07-03,01:31:02
UAL673,2021-07-03,01:32:02
ABX3158,2021-07-03,01:34:02
FRG9124,2021-07-03,01:36:02
NKS184,2021-07-03,01:38:02
DAL2249,2021-07-03,01:40:02
AAL1075,2021-07-03,01:40:02
ASA1095,2021-07-03,01:40:02
DAL328,2021-07-03,01:41:03
ASA1348,2021-07-03,01:42:02
AAL2651,2021-07-03,01:52:02
HAL90,2021-07-03,01:53:02
ASA198,2021-07-03,01:56:03
ASA790,2021-07-03,01:57:02
DAL1471,2021-07-03,01:58:03
EJA795,2021-07-03,01:58:03
RPA4524,2021-07-03,02:06:03
THY181,2021-07-03,02:09:02
WJA652,2021-07-03,02:10:03
DAL1276,2021-07-03,02:11:02
SWA4330,2021-07-03,02:12:03
JBU358,2021-07-03,02:16:02
WJA724,2021-07-03,02:18:02
JBU888,2021-07-03,02:19:03
UAL1695,2021-07-03,02:22:03
DAL436,2021-07-03,02:22:03
UAL1711,2021-07-03,02:28:02
DAL1129,2021-07-03,02:29:03
UAL1450,2021-07-03,02:29:03
AAL276,2021-07-03,02:29:03
UAL2402,2021-07-03,02:29:03
UAL2388,2021-07-03,02:32:03
NKS296,2021-07-03,02:34:03
JBU2348,2021-07-03,02:37:02
UAL2093,2021-07-03,02:39:02
DCM3355,2021-07-03,02:40:03
DAL300,2021-07-03,02:47:03
AAL28,2021-07-03,02:52:03
JBU72,2021-07-03,02:53:02
FDX1536,2021-07-03,02:53:02
DAL1784,2021-07-03,02:55:02
NKS1168,2021-07-03,02:59:03
UAL2080,2021-07-03,02:59:03
HAL50,2021-07-03,03:00:02
DAL1791,2021-07-03,03:01:03
DAL1481,2021-07-03,03:05:02
FFT2130,2021-07-03,03:05:02
AAL2001,2021-07-03,03:07:02
JBU1516,2021-07-03,03:07:02
JBU648,2021-07-03,03:09:02
RPA3487,2021-07-03,03:10:03
FRG1050,2021-07-03,03:11:02
RPA3542,2021-07-03,03:11:02
AAY2412,2021-07-03,03:14:03
JBU446,2021-07-03,03:14:03
GJS4477,2021-07-03,03:19:03
UAL2760,2021-07-03,03:19:03
DAL360,2021-07-03,03:20:02
ENY4128,2021-07-03,03:22:02
