flight,date,time
AAL237,2020-06-05,00:00:03
ASI541,2020-06-05,00:00:03
JBU602,2020-06-05,00:00:03
ASI705,2020-06-05,00:00:03
N399WS,2020-06-05,00:02:02
OXF165,2020-06-05,00:02:02
AAL2054,2020-06-05,00:04:02
ASI515,2020-06-05,00:04:02
SWG9859,2020-06-05,00:09:02
N2334U,2020-06-05,00:16:02
N21329,2020-06-05,00:18:02
OXF1580,2020-06-05,00:28:03
N359FB,2020-06-05,00:28:03
AAL340,2020-06-05,00:32:02
N4402T,2020-06-05,00:35:03
ASI862,2020-06-05,00:39:03
N124UV,2020-06-05,00:40:02
CTA306,2020-06-05,00:40:02
OXF382,2020-06-05,00:40:02
PABLO15,2020-06-05,00:46:02
OXF641,2020-06-05,00:50:02
AAL74,2020-06-05,00:57:03
EJA690,2020-06-05,01:00:02
N54178,2020-06-05,01:02:02
AAL2548,2020-06-05,01:02:02
AAL599,2020-06-05,01:11:02
GTI3707,2020-06-05,01:13:02
N868PE,2020-06-05,01:16:02
ANGEL3,2020-06-05,01:18:03
N357FB,2020-06-05,01:31:03
N785JP,2020-06-05,01:31:03
UAL1766,2020-06-05,01:46:03
FDX1586,2020-06-05,01:52:02
AMX090,2020-06-05,01:53:02
N407NA,2020-06-05,01:54:02
GTI3732,2020-06-05,01:58:03
AAY633,2020-06-05,02:08:02
ATN3204,2020-06-05,02:14:03
ASI9049,2020-06-05,02:34:03
UPS930,2020-06-05,02:38:03
OXF1640,2020-06-05,02:53:02
FDX1151,2020-06-05,03:02:03
UPS850,2020-06-05,03:04:02
N911AL,2020-06-05,03:06:02
UPS920,2020-06-05,03:11:02
UPS888,2020-06-05,03:16:02
UPS860,2020-06-05,03:23:03
UPS856,2020-06-05,03:29:02
VTM787,2020-06-05,03:29:02
N770VF,2020-06-05,03:34:02
SWQ3517,2020-06-05,03:36:03
FDX1404,2020-06-05,03:38:03
FDX1865,2020-06-05,03:48:03
UPS922,2020-06-05,03:57:02
UPS858,2020-06-05,04:02:02
FDX1748,2020-06-05,04:07:02
FDX1754,2020-06-05,04:14:03
FDX1438,2020-06-05,04:24:02
N811VM,2020-06-05,04:25:03
ATN3450,2020-06-05,04:25:03
N7132Q,2020-06-05,04:37:02
ATN3271,2020-06-05,04:45:02
AAL102,2020-06-05,04:49:03
FDX1422,2020-06-05,04:50:02
THY6069,2020-06-05,04:53:02
UPS2867,2020-06-05,04:55:02
FDX600,2020-06-05,04:57:03
N653WW,2020-06-05,04:58:02
FDX1413,2020-06-05,05:04:02
FDX1508,2020-06-05,05:11:02
FDX431,2020-06-05,05:16:02
N43KF,2020-06-05,05:20:02
N864MB,2020-06-05,05:21:02
N108ND,2020-06-05,05:23:02
N1738S,2020-06-05,05:23:02
OXF1190,2020-06-05,05:24:02
FDX884,2020-06-05,05:24:02
ATN3247,2020-06-05,05:24:02
FDX499,2020-06-05,05:24:02
FDX1403,2020-06-05,05:28:02
N3517S,2020-06-05,05:30:02
N98774,2020-06-05,05:32:02
N9223C,2020-06-05,05:33:03
N725Y,2020-06-05,05:34:02
N9467J,2020-06-05,05:35:02
N598ND,2020-06-05,05:39:02
N2078T,2020-06-05,05:42:02
N5342Y,2020-06-05,05:43:03
N6513D,2020-06-05,05:44:02
OXF1250,2020-06-05,05:44:02
N9230Y,2020-06-05,05:44:02
FDX1162,2020-06-05,05:45:03
N172FK,2020-06-05,05:45:03
N1752T,2020-06-05,05:46:02
1914,2020-06-05,05:47:02
N919MA,2020-06-05,05:48:02
AAL698,2020-06-05,05:49:02
N92228,2020-06-05,05:50:02
N7723G,2020-06-05,05:50:02
FDX882,2020-06-05,05:50:02
N751ED,2020-06-05,05:51:02
N136TE,2020-06-05,05:53:02
N3552E,2020-06-05,05:53:02
N169ME,2020-06-05,05:54:03
N5275S,2020-06-05,05:55:02
UPS2887,2020-06-05,05:56:02
N5273U,2020-06-05,05:56:02
N678WW,2020-06-05,05:58:02
SVL1,2020-06-05,05:59:02
N789WW,2020-06-05,06:01:02
N356P,2020-06-05,06:01:02
UPS2809,2020-06-05,06:01:02
FDX428,2020-06-05,06:01:02
N103VK,2020-06-05,06:01:02
N5218A,2020-06-05,06:01:02
N7261Y,2020-06-05,06:02:02
N2134M,2020-06-05,06:02:02
N725WW,2020-06-05,06:03:02
N5356P,2020-06-05,06:03:02
UPS2859,2020-06-05,06:04:02
N2447D,2020-06-05,06:04:02
FDX855,2020-06-05,06:05:03
N1402L,2020-06-05,06:07:02
N72266,2020-06-05,06:07:02
AAY574,2020-06-05,06:07:02
CKS362,2020-06-05,06:08:03
N21339,2020-06-05,06:08:03
N955JA,2020-06-05,06:09:02
N24350,2020-06-05,06:09:02
N87BC,2020-06-05,06:10:03
OXF102,2020-06-05,06:10:03
N4022W,2020-06-05,06:11:02
ASI827,2020-06-05,06:11:02
OXF121,2020-06-05,06:11:02
DAL2580,2020-06-05,06:11:02
N421ER,2020-06-05,06:12:03
FDX841,2020-06-05,06:12:03
OXF132,2020-06-05,06:14:03
N952SC,2020-06-05,06:14:03
N165SA,2020-06-05,06:16:02
OXF187,2020-06-05,06:16:02
N927PK,2020-06-05,06:16:02
FDX1735,2020-06-05,06:17:02
N4400W,2020-06-05,06:18:02
GTI3715,2020-06-05,06:18:02
N1890W,2020-06-05,06:18:02
SKW3703,2020-06-05,06:18:02
ABX505,2020-06-05,06:19:02
N4403N,2020-06-05,06:19:02
OXF447,2020-06-05,06:20:02
N712GA,2020-06-05,06:20:02
N747SC,2020-06-05,06:20:02
AAY559,2020-06-05,06:20:02
NDU543,2020-06-05,06:20:02
ASI806,2020-06-05,06:21:02
FDX486,2020-06-05,06:21:02
N809RQ,2020-06-05,06:23:02
N1742S,2020-06-05,06:23:02
N109CF,2020-06-05,06:23:02
OXF101,2020-06-05,06:24:03
N787WW,2020-06-05,06:24:03
N9223E,2020-06-05,06:25:02
N580NG,2020-06-05,06:26:02
AMF2852,2020-06-05,06:26:02
N912AG,2020-06-05,06:27:03
N196MC,2020-06-05,06:28:02
SWA1082,2020-06-05,06:28:02
N75600,2020-06-05,06:28:02
N21718,2020-06-05,06:30:02
N409MR,2020-06-05,06:31:02
AMF2924,2020-06-05,06:31:02
OXF1460,2020-06-05,06:33:03
N5675Q,2020-06-05,06:33:03
AMF2850,2020-06-05,06:33:03
SWA1091,2020-06-05,06:34:02
HGT3314,2020-06-05,06:34:02
