flight,date,time
AFR6735,2021-03-13,00:02:02
SOO3646,2021-03-13,00:18:02
KFS10,2021-03-13,00:25:02
IFL581,2021-03-13,00:52:03
N5DM,2021-03-13,01:01:02
JBU6112,2021-03-13,01:03:02
QTR724,2021-03-13,01:03:02
JBU1424,2021-03-13,01:19:02
JBU394,2021-03-13,01:22:03
DAL2491,2021-03-13,01:27:02
AAL10,2021-03-13,01:29:02
JBU1616,2021-03-13,01:35:02
UAL1406,2021-03-13,01:42:02
AAL2489,2021-03-13,01:43:02
NKS709,2021-03-13,01:47:02
JBU956,2021-03-13,01:53:02
JBU888,2021-03-13,01:53:02
DAL2379,2021-03-13,01:58:03
JBU140,2021-03-13,01:59:02
AAL276,2021-03-13,02:01:02
NKS334,2021-03-13,02:02:03
HAL90,2021-03-13,02:14:03
UAL1422,2021-03-13,02:17:02
NKS1193,2021-03-13,02:21:02
DAL1605,2021-03-13,02:27:02
NKS184,2021-03-13,02:28:03
GTI8514,2021-03-13,02:29:02
DAL1276,2021-03-13,02:36:02
UAL1814,2021-03-13,02:40:02
DAL2249,2021-03-13,02:41:02
AAL898,2021-03-13,02:51:02
IFL531,2021-03-13,02:55:02
UAL600,2021-03-13,02:55:02
JBU2236,2021-03-13,02:56:03
DAL436,2021-03-13,03:01:03
DAL700,2021-03-13,03:01:03
JUS195,2021-03-13,03:03:02
DAL2551,2021-03-13,03:04:02
JBU74,2021-03-13,03:14:02
UAL705,2021-03-13,03:15:02
UAL431,2021-03-13,03:17:02
DAL300,2021-03-13,03:17:02
NKS1168,2021-03-13,03:20:02
UAL657,2021-03-13,03:22:02
DAL550,2021-03-13,03:34:02
AAL981,2021-03-13,03:36:02
JBU2824,2021-03-13,03:45:03
FDX1536,2021-03-13,03:47:03
DAL950,2021-03-13,04:00:03
ATN3414,2021-03-13,04:08:03
DAL1791,2021-03-13,04:12:02
JLG304,2021-03-13,04:13:02
DAL821,2021-03-13,04:17:03
PDT6096,2021-03-13,04:18:02
