flight,date,time
AAL2054,2020-05-13,00:00:02
AAL782,2020-05-13,00:02:03
N770VF,2020-05-13,00:03:02
N9739Y,2020-05-13,00:06:02
N226MT,2020-05-13,00:13:02
CTA306,2020-05-13,00:16:02
DAL1110,2020-05-13,00:32:03
AAL340,2020-05-13,00:34:03
N77ME,2020-05-13,00:35:02
N506MP,2020-05-13,00:39:02
N551AM,2020-05-13,00:53:03
GTI3707,2020-05-13,00:59:02
AAL599,2020-05-13,01:14:02
AAL1414,2020-05-13,01:23:02
N712GA,2020-05-13,01:25:02
N418TY,2020-05-13,01:33:03
N864MB,2020-05-13,01:36:02
N54178,2020-05-13,01:38:02
ATN3204,2020-05-13,01:39:03
UAL1057,2020-05-13,02:04:03
N359FB,2020-05-13,02:09:02
FDX1504,2020-05-13,02:32:02
FDX1581,2020-05-13,02:38:03
UPS930,2020-05-13,02:40:03
UPS920,2020-05-13,02:52:02
UPS850,2020-05-13,03:13:02
SKW3011,2020-05-13,03:14:02
FDX1151,2020-05-13,03:18:03
UPS856,2020-05-13,03:31:02
N915MR,2020-05-13,03:35:02
FDX1865,2020-05-13,03:39:03
FDX1404,2020-05-13,03:46:02
OXF1580,2020-05-13,03:54:03
N771PD,2020-05-13,03:55:02
UPS888,2020-05-13,03:58:03
UPS32,2020-05-13,04:01:02
UPS904,2020-05-13,04:02:02
FDX1748,2020-05-13,04:07:02
UPS858,2020-05-13,04:11:02
FDX1754,2020-05-13,04:12:02
UPS922,2020-05-13,04:18:02
N390K,2020-05-13,04:27:02
FDX1438,2020-05-13,04:34:02
UPS2855,2020-05-13,04:38:02
ATN3219,2020-05-13,04:44:02
SKW3172,2020-05-13,04:58:02
FDX1422,2020-05-13,04:58:02
FDX498,2020-05-13,04:59:03
UPS2909,2020-05-13,05:11:02
FDX855,2020-05-13,05:12:02
FDX1508,2020-05-13,05:14:02
N65453,2020-05-13,05:17:02
FDX499,2020-05-13,05:17:02
FDX425,2020-05-13,05:23:02
N5273U,2020-05-13,05:25:02
AAL698,2020-05-13,05:25:02
UPS2865,2020-05-13,05:27:02
FDX1403,2020-05-13,05:29:02
FDX428,2020-05-13,05:32:03
SKW3175,2020-05-13,05:37:03
N2334U,2020-05-13,05:37:03
ABX3101,2020-05-13,05:37:03
OXF1370,2020-05-13,05:39:03
UPS2859,2020-05-13,05:46:02
N4678F,2020-05-13,05:46:02
OXF104,2020-05-13,05:47:03
N550JU,2020-05-13,05:47:03
N1646C,2020-05-13,05:50:02
N21329,2020-05-13,05:50:02
N60372,2020-05-13,05:51:02
OXF101,2020-05-13,05:51:02
CAP298,2020-05-13,05:52:03
N786SA,2020-05-13,05:54:03
N1738S,2020-05-13,05:55:02
N1715T,2020-05-13,05:56:02
UPS9748,2020-05-13,05:57:02
OXF106,2020-05-13,05:57:02
SKW3205,2020-05-13,05:58:02
N169ME,2020-05-13,06:02:02
N7792K,2020-05-13,06:03:02
N62HP,2020-05-13,06:03:02
KII1914,2020-05-13,06:06:02
GTI3715,2020-05-13,06:06:02
UPS860,2020-05-13,06:07:02
N5224E,2020-05-13,06:07:02
OXF102,2020-05-13,06:08:02
N72266,2020-05-13,06:08:02
N103VK,2020-05-13,06:08:02
N21714,2020-05-13,06:08:02
N91HK,2020-05-13,06:09:02
N5982M,2020-05-13,06:10:02
N598ND,2020-05-13,06:10:02
ABX505,2020-05-13,06:10:02
