flight,date,time
KAL9058,2021-10-05,00:00:02
QTR7CB,2021-10-05,00:00:02
EJA816,2021-10-05,00:00:02
N223FJ,2021-10-05,00:06:02
FDX1006,2021-10-05,00:08:02
JBU994,2021-10-05,00:18:02
JBU1268,2021-10-05,00:27:02
JBU778,2021-10-05,00:30:03
UAE9367,2021-10-05,00:36:02
JBU956,2021-10-05,00:38:02
FFT170,2021-10-05,00:42:03
JBU98,2021-10-05,00:44:03
N226SJ,2021-10-05,00:45:02
JBU482,2021-10-05,00:47:03
UAL1299,2021-10-05,00:53:03
UAL2378,2021-10-05,00:56:02
JBU264,2021-10-05,00:59:02
JBU648,2021-10-05,01:11:02
NKS249,2021-10-05,01:12:02
DAL399,2021-10-05,01:20:02
JBU72,2021-10-05,01:28:02
UPS1126,2021-10-05,01:34:02
ABW204,2021-10-05,01:34:02
JBU1516,2021-10-05,01:34:02
UAL574,2021-10-05,01:35:02
N460PB,2021-10-05,01:37:02
UPS1038,2021-10-05,01:37:02
DAL2418,2021-10-05,01:38:02
JBU90,2021-10-05,01:39:03
JBU358,2021-10-05,01:42:02
TWY715,2021-10-05,01:42:02
ASA790,2021-10-05,01:44:02
NKS760,2021-10-05,01:44:02
UPS1488,2021-10-05,01:45:02
DAL471,2021-10-05,01:47:02
N651BA,2021-10-05,01:49:03
JUS831,2021-10-05,01:51:03
NKS956,2021-10-05,01:52:02
DAL1059,2021-10-05,01:52:02
HAL50,2021-10-05,01:58:02
UPS1476,2021-10-05,02:03:02
UPS1076,2021-10-05,02:05:02
DAL1254,2021-10-05,02:09:02
DAL300,2021-10-05,02:10:02
JBU670,2021-10-05,02:10:02
UAL1074,2021-10-05,02:14:03
DAL1602,2021-10-05,02:19:02
NKS1168,2021-10-05,02:22:02
N818LX,2021-10-05,02:25:02
UAL1695,2021-10-05,02:27:03
UAL141,2021-10-05,02:29:03
NKS2932,2021-10-05,02:34:02
AAL276,2021-10-05,02:35:02
JBU888,2021-10-05,02:35:02
DAL552,2021-10-05,02:36:02
AAL547,2021-10-05,02:39:03
TAY1408,2021-10-05,02:40:02
DAL328,2021-10-05,02:41:03
JBU354,2021-10-05,02:42:02
THY182,2021-10-05,02:44:02
JBU2082,2021-10-05,02:45:02
UAL2185,2021-10-05,02:46:02
DAL746,2021-10-05,02:51:02
FFT2130,2021-10-05,02:51:02
DAL2863,2021-10-05,02:53:02
UPS558,2021-10-05,02:53:02
FDX1702,2021-10-05,02:53:02
JBU136,2021-10-05,03:03:02
UAL2388,2021-10-05,03:04:02
AAL2001,2021-10-05,03:04:02
UAL362,2021-10-05,03:07:03
GJS4525,2021-10-05,03:09:03
DAL950,2021-10-05,03:09:03
UAL899,2021-10-05,03:10:02
JBU2844,2021-10-05,03:11:03
N171AR,2021-10-05,03:11:03
UAL1061,2021-10-05,03:11:03
JBU162,2021-10-05,03:11:03
NKS396,2021-10-05,03:14:02
AAL1561,2021-10-05,03:20:03
GJS4453,2021-10-05,03:21:03
JBU80,2021-10-05,03:21:03
