flight,date,time
JBU648,2022-09-09,00:00:03
DAL8881,2022-09-09,00:00:03
JBU734,2022-09-09,00:11:02
N907PJ,2022-09-09,00:12:02
JBU888,2022-09-09,00:23:03
JBU264,2022-09-09,00:29:03
FFT746,2022-09-09,00:31:02
FRG580,2022-09-09,00:32:03
UAL522,2022-09-09,00:34:02
JBU90,2022-09-09,00:36:02
JBU98,2022-09-09,00:45:02
UAL2097,2022-09-09,00:46:02
FRG7400,2022-09-09,00:46:02
JBU72,2022-09-09,00:56:03
ETD902,2022-09-09,00:57:02
JBU616,2022-09-09,00:57:02
UAL426,2022-09-09,01:05:02
JBU2120,2022-09-09,01:05:02
CGRJP,2022-09-09,01:07:02
UPS1038,2022-09-09,01:14:02
UPS1076,2022-09-09,01:22:02
AAL10,2022-09-09,01:25:03
DAL906,2022-09-09,01:28:02
UPS1476,2022-09-09,01:28:02
ASA719,2022-09-09,01:28:02
UPS1126,2022-09-09,01:29:02
DAL2790,2022-09-09,01:31:02
NKS709,2022-09-09,01:31:02
N604RM,2022-09-09,01:32:02
UAL1515,2022-09-09,01:34:02
DAL399,2022-09-09,01:38:03
GEC8227,2022-09-09,01:42:03
DAL328,2022-09-09,01:44:03
AAL2453,2022-09-09,01:46:03
DAL2902,2022-09-09,01:46:03
ASA86,2022-09-09,01:51:02
DAL1040,2022-09-09,01:53:02
N204CF,2022-09-09,01:54:02
UPS558,2022-09-09,01:54:02
NKS2286,2022-09-09,01:55:03
DAL338,2022-09-09,01:55:03
DAL1296,2022-09-09,01:56:02
N17KJ,2022-09-09,01:58:02
DAL785,2022-09-09,02:00:03
AAL276,2022-09-09,02:05:02
ASA188,2022-09-09,02:11:03
UAL2059,2022-09-09,02:11:03
DAL300,2022-09-09,02:13:02
DAL8859,2022-09-09,02:13:02
UAL516,2022-09-09,02:15:02
FFT1978,2022-09-09,02:15:02
JBU358,2022-09-09,02:16:02
JBU1574,2022-09-09,02:17:02
JBU948,2022-09-09,02:19:03
UAL2612,2022-09-09,02:19:03
JBU670,2022-09-09,02:22:02
DAL897,2022-09-09,02:27:02
FDX1536,2022-09-09,02:29:03
ACA794,2022-09-09,02:29:03
